,titles,lyrics
10,새삥 (Prod. ZICO) (Feat. 호미들),"['기분이 째져', '잘 되면 셀럽', '못 되면 평생 리셀러', '나는 새삥', '모든 게 다 새삥', '보세 옷을 걸쳐도', '헌 집 주고 새집', '프리미엄이 붙어', '나는 새삥', '유명세를 걷어', '남의 멋만 쌔비지', '난 취향을 감춰 그래', '내 세컨 카는 수수께끼', '넘볼 수 없는 임금', '다시 ’코’시국', '암만 영끌해도 근본은 절대 못 사', '뚜까 패고파', '기분이 째져', '잘 되면 셀럽', '못 되면 평생 리셀러', '나는 새삥', '모든 게 다 새삥', '보세 옷을 걸쳐도', '헌 집 주고 새집', '프리미엄이 붙어', '아마 나는 오늘도', '이유는 뻔하지 새로운 옷이', '알어 니 위치는 겉만 하지 마', '이제 여름이 오니까 준비해', '내 목에다 채워질 아이스체인', '우리 엄만 생일마다', '새 가방이 생기지', '신기록 갱신', '우린 없어 배신', '나는 매일 새신', '책임을 가진 삶은 생각보다 괴로워', '내 옷은 새로워', '난 운전할 때마다 맨 앞이라 외로워', '내 옷들은 늘 새삥', '아무도 못 말려 나란 바닥노무 쉐낀', '안전모를 썼던', '기분이 째져', '잘 되면 셀럽', '못 되면 평생 리셀러', '나는 새삥', '모든 게 다 새삥', '보세 옷을 걸쳐도', '헌 집 주고 새집', '프리미엄이 붙어', '나는 새삥 모든 게 다 새삥']"
11,Snowman,[]
12,LOVE DIVE,"['네가 참 궁금해 그건 너도 마찬가지', '이거면 충분해 쫓고 쫓는 이런 놀이', '참을 수 없는 이끌림과 호기심', '묘한 너와 나 두고 보면 알겠지', '난 그 맘을 좀 봐야겠어', '서로를 비춘 밤', '아름다운 까만 눈빛 더 빠져 깊이', '(넌 내게로 난 네게로)', '마음은 이렇게 알다가도 모르지', '사랑이라는 건 한순간에 필 테니', '직접 들어와 두 눈으로 확인해', '내 맘 가장 깊은 데로 오면 돼', '원하면 감히 뛰어들어', '서로를 비춘 밤', '아름다운 까만 눈빛 더 빠져 깊이', '(넌 내게로 난 네게로)']"
13,All I Want for Christmas Is You,[]
14,Dreamers [Music from the FIFA World Cup Qatar 2022 Official Soundtrack] (Feat. FIFA Sound),"['الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان', 'الأ هو لا دان']"
15,Monologue,"['다 잊었다는 거짓말', '또 해 버렸죠', '내 마음에 그대란 사람', '없다고 했죠', '너무나 쉽게 잊혀졌다고', '이젠 남이라고', '서툰 내 사랑에 지쳐 떠난 그대', '너무 많이 울려서', '잡을 용기조차 낼 수 없었죠', '미안해요 내 사랑아', '다신 나 같은 사람 만나지 마요', '혹시 찾아가도 두 번 다시', '나를 허락해 주지 마요', '그댄 여리고 너무 착해서', '싫단 말도 잘 못하는데', '많이 부족한 나를 사랑한 그대', '이거면 됐어요 더 이상은', '그대 불행하지 않도록', '나 이쯤에서 없어지는 게', '그댈 위한 나의 사랑인 걸요', '너무 투명해서 때론 불안했죠', '제멋대로 살아온 나를', '감당할 수 없을 것 같죠', '미안해요 내 사랑아', '다신 나 같은 사람 만나지 마요', '혹시 찾아가도 두 번 다시', '나를 허락해 주지 마요', '그댄 여리고 너무 착해서', '싫단 말도 잘 못하는데', '고마웠어요 나를 사랑해 줘서', '나 같은 사람이 두 번 다시', '감히 받을 수 없는 사랑', '그대 때문에 행복했어요', '울지 마요 그대', '잘 생각해 봐요', '나쁜 일들만 가득했던 우리', '다 잊어야 해요', '다신 나 같은 사람 만나지 마요', '혹시 찾아가도 두 번 다시', '나를 허락해 주지 마요', '그댄 여리고 너무 착해서', '싫단 말도 잘 못하는데', '많이 부족한 나를 사랑한 그대', '이거면 됐어요', '더 이상은 그대 불행하지 않도록', '나 이쯤에서 없어지는 게', '그댈 위한 나의 사랑인 걸요']"
16,Santa Tell Me,[]
17,Shut Down,"['컴백이 아냐 떠난 적 없으니까', '고개들이 돌아 진정해 목 꺾일라', '게임이 아냐 진 적이 없으니까', '짖어봐 네 목에 목줄은 내 거니까', '네 다음 답안지야 똑바로 봐']"
18,Rush Hour (Feat. j-hope of BTS),"['유엔빌리지에서 한강진역', '이태원을 지나왔어 언덕길로', '클랙슨은 목이 쉬어 퇴근길마다 삐걱삐걱', '그게 자그마치 2년', '입에 단내가 나 미칠 지경', '작업실로 당당하게 내비 찍어', '그러니까 너넨 히비히비합 질러 빽빽', '그러니까 너넨 히비히비합 질러 땍땍', '따라 해 어때 생각보다 쉽지', '서울숲에서부터 근방 직경', '사진 소리 찰칵찰칵 가는 길마다 찍어 찍어', '보험마저 없는 내 미래 비전', '그러니까 너넨 히비히비합 질러 빽빽 (빽빽)', '그러니까 너넨 히비히비합 질러 땍땍 (땍땍)', '따라 해 어때 생각보다 쉽지']"
19,"눈 (EYE) (Feat. BIG Naughty, 저스디스 (JUSTHIS)) (Prod. R.Tee)","['네가 처음 세상 밖에 나와', '마주쳤던 그 예쁜 미소가', '흐릿해져만 갈 때쯤에', '곧 알게 될 거야', '넌 정말 축복받은 아이야', '널 위해 내어준 처음이자', '마지막 위로일 테니까', '기억해두자', '암막 친 지하 방에 스물네 시간', '세상이 무서워져', '질끈 눈을 뗐지 아예', '내 눈만 가리면 숨을 수 있겠지라며', '착각하며 거칠게', '추운 숨을 내쉰 날들', '차가운 시선은', '눈이 돼서 쌓이는 중인데', '가만히 있다가는', '우린 죄다 잠에 들 뿐이네', '게다가 여긴 외로워', '아무도 내 눈을 맞추려 하지 않아', '한번 힐끗하고 지나간 뒤엔', '등 뒤에 꽂혀있어 칼이 하나', '구멍이 난 채 난 헤맸었지', '참 많은 날들', '나조차도 나 몰라라 했던', '나를 잡아 줬던 형의 말 붙잡아', '오게 만들었지 여기까지', '야 말릭아 포기하지 마', '나를 감싼 많은 불안들을', '이겨내게 했지', '그때 형이 해 준 한마디가', '이젠 알약 없이도', '너희 눈을 똑바로 봐', '마주하러 내 발로 왔어', '모두의 눈이 모인 곳에', '흑백으로 보였던 세상은', '파랗게 녹아내려 봄이 올 때', '날 울렸던 그 트라우마', '덕에 난 웃어넘겨', '죽었던 내일을 건져', '못 본 체했던 화려한', '불빛에 나를 던져', '네 눈빛에 내가 번져', '오늘 밤 내가 내 정신줄을 놓치면', '내일의 나랑은', '영원히 끊어져 버릴지도', '몰라서 불을 키고 아침까지 기도', '하던 4년 전의 기억 어떻게 잊어', '거울에 비춰진 내 모습 모두가 싫어', '할 것만 같애 난 의심을 시작했지', '내 가족까지도', '울면서 전화기를 붙잡고 물었지', '엄마도 내가 싫어', '시간을 되돌릴 수 있다면', '그 상처를 씻겨 주고 싶어', '난 엄마 이제 안 돌아가 그때로는', '걱정 마', '근데 이제 내 눈빛은', '누군가를 불태우지 않아', '옆자리를 뎁혀 놓을게 말릭아 올라와', '우리는 차가움 속 피어난 눈꽃', '돌이킬 수 없는 과거에', '묶여 살고 있을 수는 없어', '너와 나를 울리고 죽였던', '감았던 눈으로', '세상을 똑바로 마주할게', '노래를 불러줘', '까만 플라스틱 너머의 세상', '터지는 플래시들 앞에 서자', '표정 없는 얼굴들이 말해', '야 그것 좀 벗어봐', '날 노려보는 눈동자 없는 눈들과', '그 눈을 피해 숨어버린 꿈들아', '여긴 숨을 곳 하나 없는 운동장', '위 홀로 서 있는 나', '날 울렸던 그 트라우마', '덕에 난 웃어넘겨', '죽었던 내일을 건져', '못 본 체했던 화려한', '불빛에 나를 던져', '네 눈빛에 내가 번져', '눈 딱 감고 눈 떠 불을 켜 내 방', '날 울렸던 그 트라우마', '덕에 난 웃어넘겨', '죽었던 내일을 건져', '못 본 체했던 화려한', '불빛에 나를 던져', '네 눈빛에 내가 번져', '날 울렸던 그 트라우마', '덕에 난 웃어넘겨', '죽었던 내일을 건져']"
