,titles,lyrics
20,사랑은 늘 도망가,"['눈물이 난다 이 길을 걸으면', '그 사람 손길이 자꾸 생각이 난다', '붙잡지 못하고 가슴만 떨었지', '내 아름답던 사람아', '사랑이란 게 참 쓰린 거더라', '잡으려 할수록 더 멀어지더라', '이별이란 게 참 쉬운 거더라', '내 잊지 못할 사람아', '사랑아 왜 도망가', '수줍은 아이처럼', '행여 놓아버릴까 봐', '꼭 움켜쥐지만', '그리움이 쫓아 사랑은 늘 도망가', '잠시 쉬어가면 좋을 텐데', '바람이 분다 옷깃을 세워도', '차가운 이별의 눈물이 차올라', '잊지 못해서 가슴에 사무친', '내 소중했던 사람아', '사랑아 왜 도망가', '수줍은 아이처럼', '행여 놓아버릴까 봐', '꼭 움켜쥐지만', '그리움이 쫓아 사랑은 늘 도망가', '잠시 쉬어가면 좋을 텐데', '기다림도 애태움도 다 버려야 하는데', '무얼 찾아 이 길을 서성일까', '무얼 찾아 여기 있나', '사랑아 왜 도망가', '수줍은 아이처럼', '행여 놓아버릴까 봐', '꼭 움켜쥐지만', '그리움이 쫓아 사랑은 늘 도망가', '잠시 쉬어가면 좋을 텐데', '잠시 쉬어가면 좋을 텐데']"
21,해요 (2022),"['그녀와 나는요 그땐 참 어렸어요', '많이 사랑했고 때론 많이 다퉜었죠', '지금 생각하면 모두 내 잘못이죠', '마지막 그날도 그녀는 울었어', '나는 그녈 잡지 못했죠', '지금까지도 너무 후회가 돼요', '그 후로 누굴 사랑한 적 없어 아직은', '그녀와 나는요', '언젠가 만날 거죠', '변해버린 모습 변해버린 시간 속에', '하지만 괜찮아 내 눈엔 아름답던', '예전 모습 그대로 일 거예요', '그녀도 날 못 잊을 거야 나는 믿어요', '그만큼 사랑했죠', '그래서 우린 한 번은 만나야만 해요', '그녀의 친구라도 이 노랠 듣는다면', '그녀에게 전해줘요', '내가 아직 사랑한다고', '우리가 처음 만난 그 시간 그 자리에', '내가 매일 기다린다고', '언제라도', '그녀도 날 못 잊을 거야 나는 믿어요', '그만큼 사랑했죠', '그래서 우린 한 번은 만나야만 해요', '그녀의 친구라도 이 노랠 듣는다면', '그녀에게 전해줘요', '내가 아직 사랑한다고', '우리가 처음 만난 그 시간 그 자리에', '내가 매일 기다린다고', '그녀의 친구라도 이 노랠 듣는다면', '그녀에게 전해줘요', '내가 아직 사랑한다고', '우리가 처음 만난 그 시간 그 자리에', '내가 매일 기다린다고', '내가 매일 기다린다고']"
22,Pink Venom,"['팝콘이나 챙겨 껴들 생각 말고', '내 손끝 툭 하나에 다 무너지는 중', '가짜 쇼 치곤 화려했지', '자 오늘 밤이야 난 독을 품은 꽃', '네 혼을 빼앗은 다음', '자 오늘 밤이야 난 독을 품은 꽃', '네 혼을 빼앗은 다음']"
23,잘가요,"['미안해 마요 이제야 난 깨달아요', '내 절대 그대 짝이 아님을', '괜찮을게요 영혼 밖에 팔 것 없는', '못난 날 잘 비켜갔어요', '그대 행복 내가 꼭 아니라도', '지킨다면 그게 사랑일 테죠', '그게 나의 몫이죠', '잘 가요 내 소중한 사람', '행복했어요', '그래도 이것만 알아줘요', '지금 그 사랑보다', '결코 내 사랑이', '부족하다거나 얕지 않음을', '잊어도 돼요 나를 만난 시간들은', '잠깐의 연극이라 여김을', '잘한 거예요 아무리 난 노력해도', '작은 희망도 없잖아요', '아주 멀리, 멀리 뛰어가세요', '어떡해요 자꾸 잘못한 일만', '떠오르는 걸', '잘 가요 내 소중한 사람', '행복했어요', '그래도 이것만 알아줘요', '지금 그 사랑보다 결코 내 사랑이', '부족하다거나 얕지 않음을', '어긋난 인연이 남겨놓은 사랑이란', '날카로운 슬픔이군요', '잘 가요 내 사랑아 고마웠어요', '그래도 이것만 알아줘요', '지금 그 사랑보다 결코 내 사랑이', '부족하다거나 얕지 않음을', '부족하다거나 얕지 않음을']"
24,너의 모든 순간,"['이윽고 내가 한눈에', '너를 알아봤을 때', '모든 건 분명 달라지고 있었어', '내 세상은 널 알기 전과 후로 나뉘어', '니가 숨 쉬면 따스한 바람이 불어와', '니가 웃으면 눈부신 햇살이 비춰', '거기 있어줘서 그게 너라서', '가끔 내 어깨에 가만히 기대주어서', '나는 있잖아 정말 빈틈없이 행복해', '너를 따라서 시간은 흐르고 멈춰', '물끄러미 너를 들여다 보곤 해', '그것 말고는 아무것도 할 수 없어서', '너의 모든 순간 그게', '나였으면 좋겠다', '생각만 해도 가슴이 차올라', '나는 온통 너로', '보고 있으면 왠지 꿈처럼 아득한 것', '몇 광년 동안 날 향해 날아온 별빛', '또 지금의 너', '거기 있어줘서 그게 너라서', '가끔 나에게 조용하게 안겨주어서', '나는 있잖아 정말 남김없이 고마워', '너를 따라서 시간은 흐르고 멈춰', '물끄러미 너를 들여다보곤 해', '너를 보는 게 나에게는 사랑이니까', '너의 모든 순간 그게', '나였으면 좋겠다', '생각만 해도 가슴이 차올라', '나는 온통 너로', '니 모든 순간 나였으면']"
25,자격지심 (Feat. ZICO),"['내 나이는 20', '하고도 플러스 2지', '주위 친구들은 일찍', '말도 안 돼 거짓말', '내게 하지 마', '티는 안 냈지만 짜증 나', '사실 난 속 좁아서 다 빈말이야', '그릇이 넓지 못한가 봐', '주위 사람의 성공이 배 아파', '매일 밤 열심히 하는 게 아마', '뒤떨어질까 봐 일지 몰라', '담배 한 대 피우고 한숨을 내뱉어', '내가 난데 왜 이래', '이러지 않았는데 나', '진짜네', '사실 잘 될 줄 난 몰랐는데', '바쁘대', '그래 다음에 시간 될 때 봐', '축하는 하지만 안 불러줄래 네 노랜', '어쩔 수 없어 내가 어른이 되길 먼저', '“노래하지 마 발성부터 글렀다고', '너 래퍼라면서 왜 이리 뚝딱거려', '그건 그렇다 쳐 지금 얼굴 갖고', '티비에 나온다니 정말 클났어”', '신인 팀들 투정해 대기실이 비좁대', '우린 부럽기만 한데', '내 폴더 인사를 쌩깠던 선배 기억해', '오래 못 가서 나락 갔지', '월등함이면 몰라', '열등감은 빠져 모양', '남 좋은 일 하는 거니까', '못 믿겠음 직접 지켜봐', '진짜네', '사실 잘 될 줄 난 몰랐는데', '바쁘대', '그래 다음에 시간 될 때 봐', '축하는 하지만 안 불러줄래 네 노랜', '어쩔 수 없어 내가 어른이 되길 먼저', '모두가 너무 다 커 보여', '네 자랑은 이제 안 부러워', '라고 말하며 귀는 또 쫑긋 서', '이제 내 차례야 라고 말하며 헛기침', '거울을 보며 내게 물어', '진짜네', '사실 잘 될 줄 난 몰랐는데', '바쁘대', '그래 다음에 시간 될 때 봐', '축하는 하지만 안 불러줄래 네 노랜', '어쩔 수 없어 내가 어른이 되길 먼저']"
26,WHEN I MOVE,"['난 가장 높은 곳에서', '아슬하게 아찔하게', '두 손을 펼쳐', '망설이지 마 뭐 어때', '리듬에 맡겨 느낀 그대로', '나조차도 어림잡지 못해', '홀린 듯 몸을 맡겨', '이 끌림이 싫진 않잖아', '그치? 나를 따라 너를 던져봐', '아슬하게 아찔하게', '두 손을 펼쳐', '리듬에 맡겨 느낀 그대로', '춤춰봐 더 자유롭게 미쳐봐', '왔어 우리에게 너무 좋은 날이', '네가 원했던 이 순간이', '움츠렸던 마음을 녹여', '어제의 너를 잊어', '리듬에 맡겨 느낀 그대로', '끝까지 손을 뻗어']"
27,사랑인가 봐,"['너와 함께 하고 싶은 일들을', '상상하는 게', '요즘 내 일상이 되고', '너의 즐거워하는 모습을 보고 있으면', '자연스레 따라 웃고 있는 걸', '너의 행동에 설레어하고 뒤척이다가', '지새운 밤이 많아지는데', '이건 누가 봐도 사랑일 텐데', '종일 함께면 질릴 텐데', '나 돌아서도 온통 너인 건', '아무래도 사랑인가 봐', '점점 너와 하고 싶은 일들 생각하면서', '하룰 보낸 날이 많아지는데', '이건 누가 봐도 사랑일 텐데', '종일 함께면 질릴 텐데', '나 돌아서도 온통 너인 건', '아무래도 사랑인가 봐', '너의 행복해하는 모습을 보고 있으면', '나도 모르게 따라 웃는데', '이 정도면 알아줄 만하잖아', '너도 용기 낼만 하잖아', '나만 이런 게 아니라면', '우리 만나볼 만하잖아', '아무래도 사랑인가 봐']"
28,Cookie,"['내가 만든 쿠키', '너를 위해 구웠지', '내가 만든 쿠키', '너무 부드러우니', '자꾸만 떠오르니', '입맛 버리게 만들고 싶어', '숨기고 있지만 널 더 보고 싶어', '식사는 없어 배고파도', '음료는 없어 목말라도', '달콤한 맛만 디저트만 만', '원하게 될 거 알잖아', '식사는 없어 배고파도', '음료는 없어 목말라도', '달콤한 맛만 디저트만 만', '원하게 될 거 알잖아', '내가 만든 쿠키', '너에게는 독이지', '네 마음속을 녹이지', '한입은 모자라니', '정신 못 차리게 만들고 싶어', '숨기고 있지만 널 더 보고 싶어', '식사는 없어 배고파도', '음료는 없어 목말라도', '달콤한 맛만 디저트만 만', '원하게 될 거 알잖아', '식사는 없어 배고파도', '음료는 없어 목말라도', '달콤한 맛만 디저트만 만', '원하게 될 거 알잖아', '레시핀 없어 딴 데서는 못 찾아', '난 재료 안 아끼지', '네 다이어트를 망치고 싶어 나', '식사는 없어 배고파도', '음료는 없어 목말라도', '달콤한 맛만 디저트만 만', '원하게 될 거 알잖아', '식사는 없어 배고파도', '음료는 없어 목말라도', '달콤한 맛만 디저트만 만', '원하게 될 거 알잖아', '내가 만든 쿠키', '우리 집에만 있지 놀러 와', '얼마든지 굽지', '그런데 너 충치', '생겨도 난 몰라', '내가 만든 쿠키', '우리 집에만 있지 놀러 와', '얼마든지 굽지', '그런데 너 충치', '생겨도 난 몰라']"
29,딱 10CM만,"['1 2 3 4 5 6 7 8 9 10', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '딱 반 발자국만', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '자세히 보아야 예쁘다', '오래 보아야 사랑스럽다', '참 좋아하던 말이었는데 글쎄', '아무거나 눌러보다가', '한발자국 뒤에서', '보면 보이지 않던 아름다움이', '보인다는 말에', '집에 가는 길에', '액정 밖의 화면을 봤네', '맨날 본 똑같은 거리들이', '오늘따라 이상하게 예뻐 보이는 게', '싫은 것도 싫지 않아야 어른이 되지', '우리 조금만 반 발자국만', '한 발자국만 아님 반 발자국만', '멀어져 볼까', '1 2 3 4 5 6 7 8 9 10', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '딱 반 발자국만', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '꽃을 보았다 예뻤다', '자세히 보려고 꺾었다', '참 좋아하던 향이었는데 글쎄', '이제는 한 두번 누르는 향수처럼', '쉽게 피고 아쉽게 지는', '자세히 안 봐도 오래 안 봐도', '이 거리를 가득 채우는', '꽃들도 있더라고', '삐거덕 거리는', '빈 수레바퀴는', '쉼과 의심 그 사이 어딘가로 더', '미끄러져가는데', '일찍이 이미 희미해 져버린', '우리의 길 위 의미는 헤져버린', '목적지에 적힌 음표와 같아서', '1 2 3 4 5 6 7 8 9 10', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '딱 반 발자국만', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자', '딱 반 발자국만', '더도 말고 덜도 말고 딱 그 정도만', '한번 해보자', '우리 멀어져 보자']"
30,내가 아니라도,"['사랑이었다 별거 없던 내 하루에', '빛이 돼준 단한 사람', '나보다 나를 더 아껴 주던 너를', '그땐 왜 몰랐을까', '행복이었다 다시는 없을 것 같던', '잠시나마 행복했었다', '다른 사람 곁에 있는 널', '생각해 본 적 없지만', '이젠 너를 보내줘야 할 것 같아', '내가 아니라도', '눈부시게 사랑받았을 너라서', '그 소중한 시간을 나와 함께해 줘서', '고마웠어', '예쁘고 아름다웠던 너의 그날에', '함께했던 그 모든 순간이 행복했어', '내 전부였다 무엇도 바꿀 수 없던', '우리라서 행복했었다', '다른 누구라도', '나보다 더 좋은 사람 만나서', '이젠 나를 잊고 행복하게 살아', '내가 아니라도', '눈부시게 사랑받았을 너라서', '그 소중한 시간을 나와 함께해 줘서', '고마웠어', '예쁘고 아름다웠던 너의 그날에', '함께했던 그 모든 순간이 행복했어', '어두웠던 내 하루에', '빛이 되어주던 그날들을', '어떻게 잊고 살아', '과분했던 너라는 사람을 만나', '누구보다 사랑했었다', '내가 아니었다면', '눈부시게 사랑받았을 너란 걸', '이 세상에 누구보다 더 잘 알아서', '미안했어 너와 함께한 날들이', '더 말할 게 있을까', '행복한 기억만 가져갈게']"
31,미리 메리 크리스마스 (Feat. 천둥 Of MBLAQ),"['하얀 눈이 내려올 때면', '온 세상이 물들을 때면', '눈꽃이 피어나 또 빛이 나', '눈이 부신 너처럼', '꾹꾹 참아도', '네가 내게 불러 준', '늘 불안불안 해 꿈처럼 깰까 봐', '하늘에게 감사해', '하얀 눈이 내려올 때면', '온 세상이 물들을 때면', '눈꽃이 피어나 또 빛이 나', '눈이 부신 너처럼', '사랑할 수 밖에 없어서', '사랑한 네 손 잡고서', '첫 눈 위를 걸어 발자국을 새겨', '이 길 끝까지 걸어 갈 거야', '네 여자친구가 되고만 싶은 걸', '너의 곁에 있을게', '하얀 눈이 내려올 때면', '온 세상이 물들을 때면', '눈꽃이 피어나 또 빛이 나', '눈이 부신 너처럼', '사랑할 수 밖에 없어서', '사랑한 네 손 잡고서', '첫 눈 위를 걸어 발자국을 새겨', '이 길 끝까지 걸어 갈 거야', '매일 매일 너 때문에 행복해', '다른 누구 아닌 나를', '나도 믿기지 않아', '지금 네가 내 옆에', '이렇게 손 꼭 잡은 채 걷는다는 게', '하얀 눈보다 더 뽀얀 네 볼에', '다가오는 크리스마스에는', '기다리는 그 날만큼은', '네 곁에 있을래', '하루 종일 미리 미리 약속해', '사랑할 수 밖에 없어서', '사랑한 네 손 잡고서', '첫 눈 위를 걸어 발자국을 새겨', '이 길 끝까지 걸어 갈 거야']"
32,그때 그 순간 그대로 (그그그),"['잘 지냈지? 조금은 어색해 요즘 좋아 보여 인사 나누며', '사실 궁금한 게 너무 많았는데 반가움에 멍해졌죠', '생각보다 오래 된 것 같은 우리 수다스럽던 그때가 생각나', '뭐가 그렇게도 할 말이 많아서 밤을 지새우곤 했죠', '그리운 목소리 그리던 얼굴 참 많이도 기다렸어', '다시 만나자는 너의 한마디에 울컥 눈물이 나', '결국 너였단 걸', '알아', '기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼', '서로를 알아보고 그렇게 눈앞에 서있죠', '우리 사랑했던 우리 다시 만나 그때 그 순간 그대로', '사랑했고 사랑할 거니까', '같이 듣던 노래 그때 그 거리를 이제 혼자 아닌 너와 둘이 걸어', '다시 오른쪽에 나란히 발맞춰 같은 노래를 부르죠', '그리운 만남을 그리던 날들 참 많이도 기다렸어', '다시 너를 만나 더욱 더 소중해 같은 마음이란 걸', '알아', '기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼', '서로를 알아보고 그렇게 눈앞에 서있죠', '우리 사랑했던 우리 다시 만나 그때 그 순간 그대로', '사랑했고 사랑할 거니까', '처음 느낌 그대로 설렘이 가득한 날', '고마워 다시 돌아와줘서', '그때 그 순간처럼 날', '안아줘', '결국 기다림의 끝은 기적이 되고 기적 같은 우린 운명처럼', '서로를 알아보고 그렇게 눈앞에 서있죠', '우리 사랑했던 우리 다시 만나 그때 그 순간 그대로', '사랑했고 사랑할 거니까']"
33,Last Christmas,[]
34,TOMBOY,"['뭘 그리 찡그려 너', '사랑 그깟 거 따위 내 몸에 상처 하나도 어림없지', '너의 썩은 내 나는 향수나 뿌릴 바엔', '사랑 그깟 거 따위 내 눈에 눈물 한 방울 어림없지', '너의 하찮은 말에 미소나 지을 바엔']"
35,크리스마스니까,"['하늘에선 마침 눈이 내려', '뭔가 잘 될 것 같은 예감', '하얀 거리마다', '행복해 보이는 연인들', '니 맘은 어떤지 내 맘과 같은지', '우리 시작해볼까', '오늘은 괜찮을까요', '내 맘이 전해질까요', '내리는 하얀 눈처럼', '너에게 닿을까요', '숨겨왔던 내 맘 전부 고백할게요', '바로 오늘 크리스마스이니까', '사실 그대도', '조금은 기댈 했잖아요', '못 이기는 척 웃는 너', '그런 니가 사랑스러워', '오늘은 괜찮을까요', '내 맘이 전해질까요', '내리는 하얀 눈처럼', '너에게 닿을까요', '숨겨왔던 내 맘 전부 고백할게요', '바로 오늘 크리스마스', '많은 사람들 속에', '너만 내 눈에 보여', '의상 좋고 머리도 괜찮고', '얼굴 상태 나쁘지 않아', '오늘만 기다렸단 말야', '눈치껏 눈도 내린단 말야', '또박또박 연습한 멘트', '뚜벅뚜벅 걷는 발걸음이', '벌써 네 앞에 도착했어', '올해 크리스마스 선물은 나야', '귀요미 루돌프 남', '오늘이야 메리 크리스마스', '조금만 더 용길 낼게', '이 순간이 지나버리면', '널 놓칠지 몰라', '진심이 더 진심처럼 느껴지는 게', '바로 오늘 크리스마스이니까', '너와 나 영원히']"
36,위하여 (We Higher) (Prod. GroovyRoom),"['기세 마치 폭포', '관중들의 눈이 반짝해', '에서부터 딱', '차려진 식사', '허나 안 성급해', '성공이 쇄도해', '빈 공간에', '시작은 골방이었지만', '절대 안 해 덤벙', '과거는 컴컴해도', '미랜 번쩍해', '딱딱해져 가지', '더 내 빡빡머리', '벌써 나인 곧 30', '이제 전성기의 나이', '나잇값 하지 난', '쉽게 올라타', '손흥민이 형처럼', '함성 소리가 날 덮쳐', '기회가 왔어', '그래 닿으려 해 대기권', '난 바닥으로 떨어진 적이 없지', '1, 2등 말고는 재미없어', '패배도 있었기에 더욱더', '단단해지는 법 배운 거지', '다른 말 안 해 지금', '이기는 거에만 다 쏟아', '팀 그릴즈 각자 자리로', '여기저기 다 있어 계속해', '트랩 붐뱁 드릴 상관없이 다 뱉어', '유행 같은 건 타지 않아 내 거는', '봄 여름 가을 겨울 싹 다 제철', '올라갈라니 너무 높아 어떡해', '(우린 안 떨어져 절대)', '못 돼 겁쟁이', '언제나 멋대로 했더니', '랩 머니가 내 눈앞에', '다 이루기 위해서 목표', '내 생각 일단 펼쳐놓고 점쳐', '단 한 번만 봐도', '내 눈에는 딱 답 나오지', '올라가 난 위', '난 매일 바래왔지 꼭대기', '이건 우릴 위하여', '더 위 위', '올라가 난 위', '난 매일 바래왔지 꼭대기', '이건 우릴 위하여', '더 위 위 위', '실패 절대 두렵지 않아', '넘어져도 포기 따윈 안혀', '앞에 날 막는 장애물이 있더라도', '멈칫하지 않어', '깊게 숨을 들이마신 후', '이륙 준비 후에 날어', '결국 트로피를 거머쥐고 나서', '기회를 바로 잡어', '내가 꿈꿔 왔던 거 눈을 감으니', '들리지 함성 소리', '누가 뭐라든 오직 내 목표는 하나', '난 황소고집', '플리키뱅 칠린호미', '노윤하 블라세 키츠요지', '우리 팀은 국가대표 너네 팀들은', '귀여워 마치 슛돌이', '너랑 나랑 몸싸움을 한다면', '보내버려 멀리', '너가 만약 내 팀을 건든다면', '벤치클리어링', '귓가엔 이젠 이명', '대신 울려 승리의 나팔소리', '둘 셋 넷 다섯 훈련해', '굴렀지 매일 밤', '처박아 맨땅에', '어차피 모 아님 도', '내가 못할 게 뭐 있어', '고생 다음에는 빛이', '얘기했지', '난 포기했고 왔어 여기에 다시', '보였어 드디어 성공이 앞에', '올라가 난 위', '난 매일 바래왔지 꼭대기', '이건 우릴 위하여', '더 위 위', '올라가 난 위', '난 매일 바래왔지 꼭대기', '이건 우릴 위하여', '더 위 위 위', '안 멈추지 있어도 그 스톱사인', '한국 남자 래퍼들 다 미녀', '걔가 뭐라 하든 나는 위너', '내 인생은 천만 관람 무비,', '너는 그냥 유튜브에 있는 클립', '안 받아 난 졸림', '이젠 다 소리쳐', '난 귀신같이 갑자기 튀어나왔어', '걔네들 거짓말 치는 거', '딱 보니까 전부 다 들렸어 사탄', '내 맛은 넘 매워 불닭이', '올라가 난 위', '난 매일 바래왔지 꼭대기', '이건 우릴 위하여', '더 위 위 위', '올라가 난 위', '난 매일 바래왔지 꼭대기', '이건 우릴 위하여', '더 위 위 위 위']"
37,그대를 알고,"['내가 좋아하는 걸 더 좋아했었죠', '괜한 투정 부려도 화낸 적 없었죠', '나쁜 일이 있어도', '날 보면 환히 웃었던', '그대에게 아무것도 해 준게 없네요', '무언지 모르고 받기만 했던 것들', '나 이제야 알 것 같아요 사랑이란 걸', '나는 그대를 알고 사랑을 알고', '이별을 알았죠', '다시 웃게 해줄 사람도 그대뿐이에요', '그대 사랑이 깊어 마음이 아파', '눈물이 가려서', '한걸음도 못가잖아요', '차가운 내 두 손을 놓은 적 없었죠', '아프기라도 하면 밤새워 지키고', '나의 몸과 마음을 나보다 아껴주었던', '그대에게 못나게도 상처만 줬네요', '헤어지잔 말은 꺼낸 적 없었지만', '변해간 마음까지도 감싸주던 한사람', '나는 그대를 알고 사랑을 알고', '이별을 알았죠', '다시 웃게 해줄 사람도 그대뿐이에요', '그대 사랑이 깊어', '마음이 아파 눈물이 가려서', '한걸음도 못가서', '자꾸만 돌아보는 나인 걸', '한 달이 가고 일 년이 가고', '십년이 지나도', '그대 나를 몰라도 나를 잊어도', '다른 사랑해도', '내가 기다리는 사람은 그대뿐이에요', '다시 믿게 할 사람 웃게 할 사람', '사랑할 한사람', '오직 그대인 걸 아니까']"
38,첫 눈,"['첫눈 오는 이런 오후에', '너에게 전화를 걸 수만', '있다면 기쁠텐데', '벌써 일년이 지났는데', '난 아직 미련 가득해서', '""쓸쓸해"" 어느새 혼잣말', '(시계를 되돌려)', '1년 전으로 갈 수 있다면', '(마음을 되돌려)', '지금 우린 달라졌을까', '그래도 만약', '너를 만나면 눈물 차 올라', '바보 같은 난 아무 말 못해', '말해줘 메리 메리 크리스마스,', '안녕 잘 지내는거지', '눈이 내리면 멍든 가슴이', '모두 하얗게 다 덮여지게 될까', '미안해 잘해주지 못해', '후회만 가득 가득 했던,', '그 크리스마스', '불빛 가득한 거리거리', '혼자 걸었어', '다들 행복해 보여', '너는 언제나 공기처럼', '있어줄 거란 착각에,', '멍청히 보내,', '내가 너무 미안해', '(너무 흔한 얘기)', '지나고 나면 너무 소중해', '(항상 지나치지)', '왜 그때는 모르는 걸까', '지금은 다를 거야', '말해주고파', '너를 만나면 눈물 차 올라', '바보 같은 난 아무 말 못해', '말해줘 메리 메리 크리스마스,', '안녕 잘 지내는거지', '눈이 내리면 멍든 가슴이', '모두 하얗게 다 덮여지게 될까', '눈물인지 눈 때문인지', '점점 너 멀리 멀리 보이던,', '그 크리스마스', '정말 신기한 일이야 너의', '생각만으로 눈물 차 흐르니말야', '다시 너에게로 가고 싶어', '무슨 일이든 할 수 있어', '지금까지 삶이', '너를 만나면 눈물 차 올라', '바보 같은 난 아무 말 못해', '말해줘 메리 메리 크리스마스,', '안녕 잘 지내는거지', '눈이 내리면 멍든 가슴이', '모두 하얗게 다 덮여지게 될까', '미안해 잘해주지 못해', '후회만 가득 가득 했던,', '너를 만나면 눈물 차 올라', '(눈물 차 올라)', '바보 같은 난 아무 말 못해', '(아무 말 못하는 나 인걸)', '말해줘 메리 메리 크리스마스,', '잘 지내는거지', '눈이 내리면 멍든 가슴이', '모두 하얗게 다 덮여지게 될까', '눈물인지 눈 때문인지', '점점 너 멀리 멀리 보이던,', '그 크리스마스']"
39,그라데이션,"['밤은 다시 길고 깊어졌네', '나는 점점 너로 잠 못 들게 돼', '글로 적어내긴 어려운 이 기분을', '너도 느꼈으면 좋겠는데', '너는 아무 생각 없이 몇 번', '나를 지나가며 웃은 거라지만', '나의 하얀 옷에 너의 잉크가 묻어', '닦아낼 수 없을 만큼 번졌네', '달콤한 색감이 물들어 조금씩', '정신을 차렸을 땐 알아볼 수도 없지', '가득 찬 마음이 여물다 못해', '터지고 있어', '내일은 말을 걸어봐야지', '요즘 노랜 뭔가 맘에 안 들어', '네게 불러 주기엔 좀 어려워서', '나름 며칠 밤을 새워 연습했지만', '네게 들려주기엔 무리인 것 같아', '너는 번질수록 진해져 가고', '나의 밤은 좀 더 길고 외롭지만', '하루종일 떠오르는 너의 얼굴은', '방을 가득 채워 무지개같이', '달콤한 색감이 물들어 조금씩', '정신을 차렸을 땐 알아볼 수도 없지', '가득 찬 마음이 여물다 못해', '터지고 있어', '내일은 말을 걸어봐야지', '바람을 맞고 빗물에 젖어', '나의 색감도 흐려지겠지만', '너는 항상 빛에 반짝일 테니까', '멋진 말들을 전하지 못하고', '아무도 관심 없는 그림이 되겠지만', '달콤한 색감은 감추지 못해', '터지고 있어', '내일은 말을 걸어봐야지', '그냥 이 노래가 어떨까 싶어']"
40,정이라고 하자 (Feat. 10CM),"['갓 10대가 됐을 때', '그때 내가 널 보지 못했다면', '어땠을까 해', '흐린 추억 속에 네게 안겨 잠드네', '나는 또 네 얘기를 꺼내', '보고 싶다는 넋두리에', '친구들 답은 뻔해', '10년도 더 된 애를 사랑할 수 있냬', '이제 그만 잊으래', '근데 그게 잘 안돼', '그래 걔 말마따나', '넌 아담의 사과일 수도', '네 전화 바로 픽업', '지금 주소 찍어', '어디든 상관없어 다 갈 테니까', '그건 사랑이 아냐', '그건 미련이 아냐', '그냥 정이라고 하자', '임마 네가 뭘 알아', '이건 사랑이 맞아', '분명 약속했단 말이야', '그 자리에 그대로', '두고 온 기억들을', '더듬고 있을 때면', '그건 사랑이 아냐', '그건 미련이 아냐', '그냥 정리하고 가자', '아메리카노보단 라떼를', '맛있게 내리던 네 집 앞 카페를', '매일 같이 갔었었던 그때를', '내려줄게 쓰지 않아 이제는', '넌 매일 밤 예뻐 예뻐', '해주며 날 재워 재워', '식어버린 널 데워 태워', '꿈에서 날 깨워 줘', '버려진 기억들 속에서', '쓸만한 컷들을 찾고 있어', '이미 내 곁에 더는 없는 너지만', '난 너를 느낄 수 있어', '닿을 듯 안 닿을 듯', '떠나는 뒷모습이', '왜인지 행복해 보여', '너라도 행복해줘', '그건 사랑이 아냐', '그건 미련이 아냐', '그냥 정이라고 하자', '임마 네가 뭘 알아', '이건 사랑이 맞아', '분명 약속했단 말이야', '그 자리에 그대로', '두고 온 기억들을', '더듬고 있을 때면', '그건 사랑이 아냐', '그건 미련이 아냐', '그냥 정리하고 가자', '그건 사랑이 아냐', '그건 미련이 아냐', '그냥 정이라고 하자', '임마 네 말이 맞아', '이건 사랑이 아냐', '그냥 정리하고 가자']"
